method,budget,fold,metric,value,mean,std,min,max,n_folds
Uniform,5,1,rmse,0.47982164592906695,,,,,
Uniform,5,1,mae,0.36949724313441,,,,,
Uniform,5,1,r2,0.22503822134083062,,,,,
Uniform,5,1,expected_loss_gbp,6495.5253828506375,,,,,
Uniform,5,1,coverage_90,0.9502487562189055,,,,,
Uniform,5,1,msse,0.6992396478526017,,,,,
Uniform,5,1,n_test,603.0,,,,,
Uniform,5,1,morans_i,0.7410290548705434,,,,,
Uniform,5,1,morans_pval,0.001,,,,,
Uniform,5,1,selection_time_sec,0.0009996891021728516,,,,,
Uniform,5,1,inference_time_sec,0.0070002079010009766,,,,,
Uniform,5,1,n_selected,5.0,,,,,
Uniform,5,1,total_cost,830.0,,,,,
Uniform,5,2,rmse,0.3761272636770154,,,,,
Uniform,5,2,mae,0.28129910599982383,,,,,
Uniform,5,2,r2,0.31338807941167135,,,,,
Uniform,5,2,expected_loss_gbp,6524.806977702214,,,,,
Uniform,5,2,coverage_90,0.9739478957915831,,,,,
Uniform,5,2,msse,0.4408707036991598,,,,,
Uniform,5,2,n_test,499.0,,,,,
Uniform,5,2,morans_i,0.6834150169861144,,,,,
Uniform,5,2,morans_pval,0.001,,,,,
Uniform,5,2,selection_time_sec,0.0,,,,,
Uniform,5,2,inference_time_sec,0.0029973983764648438,,,,,
Uniform,5,2,n_selected,5.0,,,,,
Uniform,5,2,total_cost,830.0,,,,,
Uniform,5,3,rmse,0.539711990158435,,,,,
Uniform,5,3,mae,0.3815628214808708,,,,,
Uniform,5,3,r2,0.288525432359482,,,,,
Uniform,5,3,expected_loss_gbp,6434.952463275532,,,,,
Uniform,5,3,coverage_90,0.9156626506024096,,,,,
Uniform,5,3,msse,0.8768699063696919,,,,,
Uniform,5,3,n_test,498.0,,,,,
Uniform,5,3,morans_i,0.7838020301571629,,,,,
Uniform,5,3,morans_pval,0.001,,,,,
Uniform,5,3,selection_time_sec,0.0,,,,,
Uniform,5,3,inference_time_sec,0.004030466079711914,,,,,
Uniform,5,3,n_selected,5.0,,,,,
Uniform,5,3,total_cost,830.0,,,,,
Uniform,10,1,rmse,0.48489397275915325,,,,,
Uniform,10,1,mae,0.37434454821862284,,,,,
Uniform,10,1,r2,0.20856694892223426,,,,,
Uniform,10,1,expected_loss_gbp,6597.387774778063,,,,,
Uniform,10,1,coverage_90,0.9419568822553898,,,,,
Uniform,10,1,msse,0.7142985404627835,,,,,
Uniform,10,1,n_test,603.0,,,,,
Uniform,10,1,morans_i,0.750847473476987,,,,,
Uniform,10,1,morans_pval,0.001,,,,,
Uniform,10,1,selection_time_sec,0.0,,,,,
Uniform,10,1,inference_time_sec,0.0029916763305664062,,,,,
Uniform,10,1,n_selected,10.0,,,,,
Uniform,10,1,total_cost,1670.0,,,,,
Uniform,10,2,rmse,0.3619517812360568,,,,,
Uniform,10,2,mae,0.2665488103541659,,,,,
Uniform,10,2,r2,0.3641668794501519,,,,,
Uniform,10,2,expected_loss_gbp,6552.523921529628,,,,,
Uniform,10,2,coverage_90,0.9799599198396793,,,,,
Uniform,10,2,msse,0.42299201657961605,,,,,
Uniform,10,2,n_test,499.0,,,,,
Uniform,10,2,morans_i,0.6701563061197814,,,,,
Uniform,10,2,morans_pval,0.001,,,,,
Uniform,10,2,selection_time_sec,0.0,,,,,
Uniform,10,2,inference_time_sec,0.003006458282470703,,,,,
Uniform,10,2,n_selected,10.0,,,,,
Uniform,10,2,total_cost,1670.0,,,,,
Uniform,10,3,rmse,0.5281081686957528,,,,,
Uniform,10,3,mae,0.371136093688136,,,,,
Uniform,10,3,r2,0.3187899949261994,,,,,
Uniform,10,3,expected_loss_gbp,6599.498360155348,,,,,
Uniform,10,3,coverage_90,0.9216867469879518,,,,,
Uniform,10,3,msse,0.8346384349069816,,,,,
Uniform,10,3,n_test,498.0,,,,,
Uniform,10,3,morans_i,0.7780283097474251,,,,,
Uniform,10,3,morans_pval,0.001,,,,,
Uniform,10,3,selection_time_sec,0.0,,,,,
Uniform,10,3,inference_time_sec,0.0030455589294433594,,,,,
Uniform,10,3,n_selected,10.0,,,,,
Uniform,10,3,total_cost,1670.0,,,,,
Uniform,15,1,rmse,0.46277199923806644,,,,,
Uniform,15,1,mae,0.3565890481281043,,,,,
Uniform,15,1,r2,0.2791336420192341,,,,,
Uniform,15,1,expected_loss_gbp,6534.049656499307,,,,,
Uniform,15,1,coverage_90,0.9552238805970149,,,,,
Uniform,15,1,msse,0.6589826962328077,,,,,
Uniform,15,1,n_test,603.0,,,,,
Uniform,15,1,morans_i,0.726324262611452,,,,,
Uniform,15,1,morans_pval,0.001,,,,,
Uniform,15,1,selection_time_sec,0.0,,,,,
Uniform,15,1,inference_time_sec,0.002996206283569336,,,,,
Uniform,15,1,n_selected,15.0,,,,,
Uniform,15,1,total_cost,2680.0,,,,,
Uniform,15,2,rmse,0.36569037904344326,,,,,
Uniform,15,2,mae,0.26877363682215877,,,,,
Uniform,15,2,r2,0.3509640105284305,,,,,
Uniform,15,2,expected_loss_gbp,6541.757753696932,,,,,
Uniform,15,2,coverage_90,0.9739478957915831,,,,,
Uniform,15,2,msse,0.42763096936434913,,,,,
Uniform,15,2,n_test,499.0,,,,,
Uniform,15,2,morans_i,0.6705846362483296,,,,,
Uniform,15,2,morans_pval,0.001,,,,,
Uniform,15,2,selection_time_sec,0.0009980201721191406,,,,,
Uniform,15,2,inference_time_sec,0.002999544143676758,,,,,
Uniform,15,2,n_selected,15.0,,,,,
Uniform,15,2,total_cost,2680.0,,,,,
Uniform,15,3,rmse,0.5717278987901752,,,,,
Uniform,15,3,mae,0.3991052051227519,,,,,
Uniform,15,3,r2,0.2016119684724672,,,,,
Uniform,15,3,expected_loss_gbp,6563.187208508809,,,,,
Uniform,15,3,coverage_90,0.8975903614457831,,,,,
Uniform,15,3,msse,0.9712338900130044,,,,,
Uniform,15,3,n_test,498.0,,,,,
Uniform,15,3,morans_i,0.8099583440014239,,,,,
Uniform,15,3,morans_pval,0.001,,,,,
Uniform,15,3,selection_time_sec,0.0,,,,,
Uniform,15,3,inference_time_sec,0.003963470458984375,,,,,
Uniform,15,3,n_selected,15.0,,,,,
Uniform,15,3,total_cost,2680.0,,,,,
Uniform,20,1,rmse,0.47017293332916993,,,,,
Uniform,20,1,mae,0.35586052284722897,,,,,
Uniform,20,1,r2,0.25589219531839835,,,,,
Uniform,20,1,expected_loss_gbp,6515.539100607149,,,,,
Uniform,20,1,coverage_90,0.9469320066334992,,,,,
Uniform,20,1,msse,0.6778952193383813,,,,,
Uniform,20,1,n_test,603.0,,,,,
Uniform,20,1,morans_i,0.7335494997117039,,,,,
Uniform,20,1,morans_pval,0.001,,,,,
Uniform,20,1,selection_time_sec,0.0,,,,,
Uniform,20,1,inference_time_sec,0.004000425338745117,,,,,
Uniform,20,1,n_selected,20.0,,,,,
Uniform,20,1,total_cost,3240.0,,,,,
Uniform,20,2,rmse,0.3821414469580481,,,,,
Uniform,20,2,mae,0.2811972777823409,,,,,
Uniform,20,2,r2,0.29125501720341407,,,,,
Uniform,20,2,expected_loss_gbp,6449.171175633579,,,,,
Uniform,20,2,coverage_90,0.9599198396793587,,,,,
Uniform,20,2,msse,0.5047379613477952,,,,,
Uniform,20,2,n_test,499.0,,,,,
Uniform,20,2,morans_i,0.6931750721671489,,,,,
Uniform,20,2,morans_pval,0.001,,,,,
Uniform,20,2,selection_time_sec,0.0,,,,,
Uniform,20,2,inference_time_sec,0.003999471664428711,,,,,
Uniform,20,2,n_selected,20.0,,,,,
Uniform,20,2,total_cost,3240.0,,,,,
Uniform,20,3,rmse,0.5609741003104022,,,,,
Uniform,20,3,mae,0.3937054342200135,,,,,
Uniform,20,3,r2,0.23136373850070813,,,,,
Uniform,20,3,expected_loss_gbp,6549.7638523487385,,,,,
Uniform,20,3,coverage_90,0.9096385542168675,,,,,
Uniform,20,3,msse,0.9403089206950898,,,,,
Uniform,20,3,n_test,498.0,,,,,
Uniform,20,3,morans_i,0.7991827306429151,,,,,
Uniform,20,3,morans_pval,0.001,,,,,
Uniform,20,3,selection_time_sec,0.0,,,,,
Uniform,20,3,inference_time_sec,0.0030012130737304688,,,,,
Uniform,20,3,n_selected,20.0,,,,,
Uniform,20,3,total_cost,3240.0,,,,,
Uniform,30,1,rmse,0.4337668438105599,,,,,
Uniform,30,1,mae,0.3307816281201368,,,,,
Uniform,30,1,r2,0.36666525240094827,,,,,
Uniform,30,1,expected_loss_gbp,6514.55754261396,,,,,
Uniform,30,1,coverage_90,0.9585406301824212,,,,,
Uniform,30,1,msse,0.592747111378058,,,,,
Uniform,30,1,n_test,603.0,,,,,
Uniform,30,1,morans_i,0.6983716737917867,,,,,
Uniform,30,1,morans_pval,0.001,,,,,
Uniform,30,1,selection_time_sec,0.0,,,,,
Uniform,30,1,inference_time_sec,0.003999948501586914,,,,,
Uniform,30,1,n_selected,30.0,,,,,
Uniform,30,1,total_cost,4520.0,,,,,
Uniform,30,2,rmse,0.38204029684788215,,,,,
Uniform,30,2,mae,0.2758789796354522,,,,,
Uniform,30,2,r2,0.2916301670113882,,,,,
Uniform,30,2,expected_loss_gbp,6531.016608159279,,,,,
Uniform,30,2,coverage_90,0.9639278557114228,,,,,
Uniform,30,2,msse,0.4821575472365274,,,,,
Uniform,30,2,n_test,499.0,,,,,
Uniform,30,2,morans_i,0.7072336605948376,,,,,
Uniform,30,2,morans_pval,0.001,,,,,
Uniform,30,2,selection_time_sec,0.0,,,,,
Uniform,30,2,inference_time_sec,0.003919839859008789,,,,,
Uniform,30,2,n_selected,30.0,,,,,
Uniform,30,2,total_cost,4520.0,,,,,
Uniform,30,3,rmse,0.5546294155758873,,,,,
Uniform,30,3,mae,0.37983450619876963,,,,,
Uniform,30,3,r2,0.24865215309885536,,,,,
Uniform,30,3,expected_loss_gbp,6560.956264659865,,,,,
Uniform,30,3,coverage_90,0.9036144578313253,,,,,
Uniform,30,3,msse,0.9483989678518462,,,,,
Uniform,30,3,n_test,498.0,,,,,
Uniform,30,3,morans_i,0.7967953755293508,,,,,
Uniform,30,3,morans_pval,0.001,,,,,
Uniform,30,3,selection_time_sec,0.0,,,,,
Uniform,30,3,inference_time_sec,0.003999948501586914,,,,,
