method,budget,fold,instance_id,metric,value,mean,std,min,max,n_folds
greedy_evi,1,1,fold1-budget1,rmse,0.5999497643973879,,,,,
greedy_evi,1,1,fold1-budget1,mae,0.4285048875580173,,,,,
greedy_evi,1,1,fold1-budget1,r2,0.7178756736004164,,,,,
greedy_evi,1,1,fold1-budget1,expected_loss_gbp,1509.0352687398133,,,,,
greedy_evi,1,1,fold1-budget1,coverage_90,0.9459459459459459,,,,,
greedy_evi,1,1,fold1-budget1,msse,0.655845619767518,,,,,
greedy_evi,1,1,fold1-budget1,n_test,74.0,,,,,
greedy_evi,1,1,fold1-budget1,roi,-111.82788106194648,,,,,
greedy_evi,1,1,fold1-budget1,cost_efficiency,-110.82788106194648,,,,,
greedy_evi,1,1,fold1-budget1,prior_loss_gbp,4832.110966735191,,,,,
greedy_evi,1,1,fold1-budget1,posterior_loss_gbp,8156.947398593586,,,,,
greedy_evi,1,1,fold1-budget1,savings_gbp,-3324.8364318583945,,,,,
greedy_evi,1,1,fold1-budget1,total_cost,30.0,,,,,
greedy_evi,1,1,fold1-budget1,prior_loss_test_only,893.9405288460104,,,,,
greedy_evi,1,1,fold1-budget1,domain_scale_factor,5.405405405405405,,,,,
greedy_evi,1,1,fold1-budget1,n_near_threshold,34.0,,,,,
greedy_evi,1,1,fold1-budget1,fraction_near_threshold,0.4594594594594595,,,,,
greedy_evi,1,1,fold1-budget1,prior_loss_near_threshold,7379.736454119596,,,,,
greedy_evi,1,1,fold1-budget1,posterior_loss_near_threshold,7406.171719921514,,,,,
greedy_evi,1,1,fold1-budget1,savings_near_threshold,-26.43526580191792,,,,,
greedy_evi,1,1,fold1-budget1,roi_near_threshold,-1.8811755267305974,,,,,
greedy_evi,1,1,fold1-budget1,ddi_test,0.44594594594594594,,,,,
greedy_evi,1,1,fold1-budget1,ddi_prior,0.33,,,,,
greedy_evi,1,1,fold1-budget1,action_K,12.0,,,,,
greedy_evi,1,1,fold1-budget1,action_constrained_loss,16281.081081081082,,,,,
greedy_evi,1,1,fold1-budget1,action_regret,14772.045812341268,,,,,
greedy_evi,1,1,fold1-budget1,action_hit_rate,0.23076923076923078,,,,,
greedy_evi,1,1,fold1-budget1,morans_i,0.5886367679876282,,,,,
greedy_evi,1,1,fold1-budget1,morans_pval,0.001,,,,,
greedy_evi,1,1,fold1-budget1,prior_computation_time_sec,0.011959075927734375,,,,,
greedy_evi,1,1,fold1-budget1,selection_time_sec,0.7367665767669678,,,,,
greedy_evi,1,1,fold1-budget1,inference_time_sec,0.0019922256469726562,,,,,
greedy_evi,1,1,fold1-budget1,total_time_sec,0.7507178783416748,,,,,
greedy_evi,1,1,fold1-budget1,n_selected,1.0,,,,,
greedy_evi,1,1,fold1-budget1,cost_mean,30.0,,,,,
greedy_evi,1,1,fold1-budget1,cost_std,0.0,,,,,
greedy_evi,1,2,fold2-budget1,rmse,0.4566411848942515,,,,,
greedy_evi,1,2,fold2-budget1,mae,0.350599832138494,,,,,
greedy_evi,1,2,fold2-budget1,r2,0.8392301614594389,,,,,
greedy_evi,1,2,fold2-budget1,expected_loss_gbp,1500.6738188071413,,,,,
greedy_evi,1,2,fold2-budget1,coverage_90,0.9791666666666666,,,,,
greedy_evi,1,2,fold2-budget1,msse,0.43326371287661763,,,,,
greedy_evi,1,2,fold2-budget1,n_test,96.0,,,,,
greedy_evi,1,2,fold2-budget1,roi,-108.64549458318201,,,,,
greedy_evi,1,2,fold2-budget1,cost_efficiency,-107.64549458318201,,,,,
greedy_evi,1,2,fold2-budget1,prior_loss_gbp,3023.442740867629,,,,,
greedy_evi,1,2,fold2-budget1,posterior_loss_gbp,6252.807578363089,,,,,
greedy_evi,1,2,fold2-budget1,savings_gbp,-3229.3648374954605,,,,,
greedy_evi,1,2,fold2-budget1,total_cost,30.0,,,,,
greedy_evi,1,2,fold2-budget1,prior_loss_test_only,725.6262578082309,,,,,
greedy_evi,1,2,fold2-budget1,domain_scale_factor,4.166666666666667,,,,,
